epoch_s,local_time,dt_s,section,paddle,slat,mem_index,diff,rate_hz
1771538209,2026-02-19 21:56:49,0.000000,BARREL,54,1,70,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,54,2,71,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,25,1,72,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,25,2,73,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,301,1,74,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,301,2,75,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,304,1,76,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,304,2,77,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,22,1,78,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,22,2,79,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,4,1,80,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,4,2,81,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,12,1,82,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,12,2,83,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,99,1,84,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,99,2,85,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,56,1,86,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,56,2,87,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,122,1,88,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,122,2,89,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,55,1,90,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,55,2,91,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,83,1,92,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,83,2,93,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,97,1,94,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,97,2,95,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,84,1,96,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,84,2,97,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,305,1,98,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,305,2,99,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,2,1,100,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,2,2,101,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,45,1,102,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,45,2,103,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,77,1,-1,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BARREL,77,2,-1,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,11,1,2,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,11,2,3,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,38,1,4,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,38,2,5,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,96,1,6,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,96,2,7,0,0.000000
1771538209,2026-02-19 21:56:49,0.000000,BOTTOM,307,1,8,0,0.000000
